Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
6538,0.37,Premium,D,SI1,62.3,56.0,4.64,4.61,2.88,874
19921,0.4,Premium,G,SI1,59.3,59.0,4.8,4.82,2.85,702
5709,0.38,Good,G,VS1,63.9,60.0,4.59,4.52,2.91,962
18288,0.34,Ideal,E,VS1,61.2,57.0,4.45,4.51,2.74,805
24902,0.35,Ideal,E,VS2,62.5,55.0,4.52,4.5,2.82,984
4540,0.42,Very Good,E,VS1,62.1,55.0,4.81,4.85,3.0,1105
5199,0.56,Ideal,E,SI1,62.7,57.0,5.23,5.27,3.29,1580
25868,0.3,Ideal,D,VS2,62.3,56.0,4.29,4.32,2.68,710
3008,0.3,Ideal,E,IF,62.2,55.0,4.32,4.36,2.7,957
24701,1.2,Ideal,J,SI1,61.9,57.0,6.8,6.87,4.23,5071
464,0.9,Very Good,H,VS2,62.6,59.0,6.07,6.16,3.83,5502
26286,0.42,Premium,D,VS1,60.8,60.0,4.87,4.84,2.95,1235
11595,0.5,Good,E,VVS2,,62.0,5.04,5.09,3.12,2437
11249,0.31,Ideal,D,VS2,62.1,56.0,4.35,4.34,2.7,942
13891,0.32,Ideal,H,VVS2,62.0,55.0,4.42,4.39,2.73,828
5847,1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,4666
513,0.38,Very Good,F,SI2,,61.0,4.61,4.67,2.83,600
18412,1.73,Premium,I,VS1,62.2,59.0,7.65,7.62,4.75,12674
6444,0.56,Very Good,E,VS1,61.9,57.0,5.29,5.31,3.28,2037
14590,0.57,Premium,F,VS2,60.3,58.0,5.44,5.4,3.27,1847
14419,0.81,Ideal,E,VS2,61.5,57.0,6.0,6.06,3.71,3975
1194,0.3,Ideal,D,VS2,62.4,55.0,4.3,4.32,2.69,616
20883,0.41,Premium,E,SI1,61.3,58.0,4.76,4.8,2.93,755
2047,0.32,Ideal,E,SI1,61.8,55.0,4.42,4.45,2.74,561
23329,1.55,Ideal,J,SI2,62.0,56.0,7.42,7.38,4.59,6805
1643,1.01,Ideal,D,SI1,61.4,59.0,6.4,6.44,3.94,5812
19338,0.3,Ideal,F,IF,62.2,57.0,4.3,4.32,2.68,886
14119,1.13,Premium,I,SI1,62.8,57.0,6.68,6.64,4.18,4746
4758,1.0,Very Good,F,VS2,61.1,60.0,6.4,6.46,3.93,7343
15211,1.56,Premium,D,SI1,62.6,58.0,7.36,7.44,4.63,12226
12556,2.51,Ideal,H,SI2,62.0,57.0,8.72,8.67,5.39,17162
13446,0.4,Premium,E,VS1,61.8,56.0,4.77,4.74,2.94,1125
3509,1.2,Ideal,I,SI1,62.6,58.0,6.74,6.71,4.21,5376
4788,0.3,Ideal,E,VVS2,61.4,57.0,4.34,4.32,2.66,1013
19924,0.25,Very Good,E,VVS2,62.2,58.0,4.03,4.11,2.53,548
8034,0.32,Premium,E,VS1,61.3,58.0,4.36,4.39,2.68,677
2876,0.36,Ideal,E,VS2,62.8,55.0,4.56,4.49,2.84,1013
3190,0.3,Premium,H,VS1,62.4,60.0,4.29,4.23,2.66,630
9852,0.32,Ideal,E,VVS1,61.6,56.0,4.43,4.37,2.71,1061
14289,0.5,Premium,F,VS1,61.6,58.0,5.11,5.06,3.13,1715
14777,1.12,Ideal,F,SI2,61.8,55.0,6.69,6.66,4.13,4140
20573,0.4,Good,F,SI1,63.1,58.0,4.66,4.69,2.95,687
22035,0.41,Very Good,F,VVS1,61.4,58.0,4.76,4.78,2.93,1122
10684,0.55,Ideal,G,SI1,61.7,58.0,5.27,5.29,3.26,1417
26025,1.0,Fair,G,SI1,64.4,57.0,6.32,6.28,4.06,4295
18828,0.31,Good,E,SI1,63.4,55.0,4.31,4.33,2.74,544
6221,0.4,Ideal,H,SI1,62.6,52.0,4.73,4.76,2.97,705
26807,0.67,Fair,F,SI1,56.0,67.0,5.81,5.78,3.25,1642
6526,0.5,Good,H,VVS2,66.1,58.0,4.87,4.9,3.23,1214
23017,0.55,Very Good,J,VS2,61.7,54.0,5.29,5.34,3.28,1172
26280,0.31,Ideal,D,VS2,60.4,56.0,4.42,4.39,2.66,942
21709,1.2,Very Good,I,SI1,63.1,61.0,6.65,6.58,4.18,4301
15289,0.5,Ideal,F,VVS2,59.9,58.0,5.14,5.17,3.09,2016
15207,0.32,Ideal,H,VS2,,55.0,4.42,4.38,2.75,648
10391,0.72,Ideal,D,VS1,60.9,56.0,5.79,5.86,3.55,3896
16310,1.42,Good,F,VS2,63.7,57.0,7.08,6.99,4.48,9542
16699,0.39,Very Good,D,VVS1,63.0,60.0,4.61,4.63,2.91,1092
21341,1.05,Very Good,H,SI2,63.0,59.0,6.44,6.48,4.07,4158
354,0.7,Very Good,E,SI1,61.7,62.0,5.64,5.68,3.49,2569
7586,0.32,Premium,D,VS2,62.9,59.0,4.39,4.36,2.75,842
10708,0.37,Premium,E,VVS2,59.6,60.0,4.75,4.68,2.81,971
2476,1.51,Good,J,VS2,59.5,61.0,7.45,7.62,4.48,7476
8782,0.5,Fair,G,VS1,67.6,56.0,5.02,4.89,3.35,1257
11581,0.32,Premium,F,VS2,62.1,59.0,4.35,4.41,2.72,645
7375,1.07,Premium,D,VS2,61.3,59.0,6.61,6.53,4.03,7751
6170,0.3,Premium,H,VS2,,60.0,4.26,4.31,2.65,473
26664,0.74,Premium,F,SI1,58.7,58.0,5.93,5.86,3.46,2452
19991,0.27,Ideal,F,IF,61.8,55.0,4.16,4.19,2.58,796
14744,1.04,Very Good,H,VS2,60.9,58.0,6.5,6.6,3.99,5447
10856,0.73,Premium,J,VS2,62.8,58.0,5.77,5.71,3.6,1654
12320,0.55,Ideal,H,IF,61.9,56.0,5.26,5.34,3.26,2120
6848,1.24,Very Good,G,SI1,61.8,59.0,6.85,6.88,4.24,6438
5244,1.01,Ideal,F,VS2,60.9,57.0,6.48,6.45,3.94,6787
5179,0.32,Ideal,F,VVS1,61.6,55.0,4.42,4.44,2.73,854
23959,1.52,Very Good,I,SI1,62.7,59.0,7.26,7.34,4.58,7506
4387,0.72,Premium,J,VS2,61.4,58.0,5.76,5.74,3.53,1944
26837,1.0,Ideal,E,SI1,61.9,56.0,6.37,6.45,3.97,5458
272,0.55,Ideal,F,VVS2,61.5,57.0,5.24,5.27,3.23,2294
16522,0.56,Ideal,F,VVS2,61.1,56.0,5.35,5.37,3.27,2522
16473,0.31,Premium,G,SI1,62.6,58.0,4.29,4.34,2.7,462
2065,0.7,Ideal,F,VS2,62.3,53.0,5.69,5.73,3.56,2907
19018,0.52,Ideal,F,SI1,62.2,54.0,5.19,5.23,3.24,1223
15977,1.0,Premium,H,VS2,58.4,60.0,6.36,6.3,3.7,4514
10074,1.0,Very Good,H,SI2,64.1,54.0,6.3,6.33,4.05,3991
14010,2.3,Premium,I,SI2,61.3,58.0,8.53,8.46,5.21,11051
5660,0.7,Very Good,E,VS1,61.3,60.0,5.68,5.7,3.49,2952
21506,0.39,Very Good,E,VS2,60.1,61.0,4.72,4.76,2.85,889
2376,1.0,Premium,G,VS2,60.6,59.0,6.42,6.36,3.87,6451
15531,0.43,Premium,F,VS2,59.8,58.0,4.94,4.89,2.94,968
776,0.3,Ideal,I,SI1,60.4,59.0,4.33,4.35,2.62,439
25698,0.34,Premium,I,SI1,60.0,58.0,4.51,4.55,2.72,459
10361,1.09,Very Good,G,IF,62.9,57.0,6.52,6.58,4.12,8650
9518,0.7,Very Good,G,SI1,61.7,56.0,5.66,5.75,3.52,2310
13852,0.9,Good,G,I1,63.6,61.0,6.07,6.03,3.85,2344
25896,0.33,Very Good,E,SI1,63.4,55.0,4.4,4.37,2.78,743
1252,2.2,Ideal,I,SI2,62.2,56.0,8.33,8.29,5.17,13512
13161,1.2,Very Good,H,SI2,60.7,60.0,6.81,6.89,4.16,4831
18940,1.52,Ideal,G,VS1,,57.0,7.5,7.48,4.47,13903
10657,1.44,Premium,I,I1,62.7,55.0,7.21,7.18,4.51,4387
7403,0.43,Very Good,G,VVS2,61.7,56.0,4.84,4.88,2.99,976
11563,0.56,Premium,F,VS2,,57.0,5.39,5.35,3.26,2318
6813,0.32,Ideal,E,VVS1,61.2,55.0,4.4,4.45,2.71,892
12344,1.02,Fair,H,SI1,56.9,58.0,6.64,6.75,3.81,4935
18449,0.3,Premium,E,VS2,59.2,59.0,4.41,4.37,2.6,844
350,0.44,Good,J,VS1,63.1,57.0,4.83,4.87,3.06,694
6592,0.29,Very Good,G,VVS1,62.0,55.0,4.27,4.29,2.65,607
6160,0.33,Ideal,H,VVS2,61.7,56.0,4.41,4.44,2.73,666
13406,0.46,Very Good,G,VS1,62.8,57.0,4.92,4.83,3.06,1049
9200,0.71,Very Good,G,SI1,57.5,61.0,5.91,5.96,3.41,2644
9240,0.31,Very Good,G,VS1,63.0,57.0,4.28,4.32,2.71,625
8750,0.32,Very Good,F,VS2,60.8,58.0,4.41,4.44,2.69,645
3851,1.5,Very Good,J,SI1,62.7,58.0,7.22,7.26,4.54,6987
8834,1.14,Very Good,H,SI1,62.9,59.0,6.62,6.64,4.17,5367
503,0.3,Ideal,F,VS1,61.7,56.0,4.32,4.34,2.67,570
12994,0.3,Ideal,G,VVS1,62.3,54.0,4.33,4.31,2.69,1013
25013,1.37,Premium,F,SI2,62.8,57.0,7.12,7.08,4.46,6181
7476,1.33,Ideal,H,SI1,62.7,56.0,7.04,6.99,4.4,7217
15488,1.66,Premium,G,SI2,59.1,58.0,7.77,7.69,4.57,10030
9875,0.32,Ideal,G,VVS2,61.9,57.0,4.41,4.38,2.72,936
8656,0.8,Ideal,E,SI1,61.0,57.0,6.0,6.03,3.67,3890
3262,0.7,Very Good,F,SI2,63.2,59.0,5.66,5.61,3.56,1792
4890,0.24,Very Good,D,VVS2,62.9,59.0,3.95,3.97,2.49,492
2850,0.62,Very Good,G,VS1,60.1,58.0,5.52,5.54,3.32,2161
7779,1.33,Premium,H,SI1,61.9,58.0,7.04,6.98,4.34,7302
16842,1.51,Very Good,G,SI1,63.4,58.0,7.19,7.3,4.59,9664
25361,0.5,Ideal,E,VS2,60.0,57.0,5.12,5.15,3.08,1624
23538,1.69,Ideal,I,VS2,,56.0,7.74,7.77,4.69,13645
16965,0.34,Ideal,H,VS2,61.4,57.0,4.55,4.48,2.77,689
319,0.9,Very Good,D,SI1,62.5,59.0,6.11,6.15,3.83,4579
10798,0.3,Ideal,G,IF,62.6,57.0,4.32,4.28,2.69,956
20685,1.16,Premium,F,SI2,62.1,59.0,6.76,6.71,4.18,5164
13144,1.36,Good,E,SI2,58.0,64.0,7.26,7.19,4.19,6397
24329,0.71,Good,F,SI1,64.3,57.0,5.62,5.55,3.59,2125
23336,0.7,Ideal,I,VS2,62.5,56.0,5.66,5.7,3.55,2232
11535,1.3,Fair,J,SI1,66.0,57.1,6.73,6.82,4.45,5488
2628,0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89,1012
17596,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,3360
22964,0.45,Premium,I,VVS1,63.0,56.0,4.9,4.88,3.08,1013
10772,1.43,Ideal,G,SI1,62.8,57.0,7.17,7.12,4.49,8599
22311,1.69,Premium,I,VS2,62.4,58.0,7.66,7.53,4.74,10600
14402,0.33,Ideal,G,IF,61.5,55.0,4.48,4.5,2.76,946
13642,0.39,Ideal,G,VVS1,62.3,57.0,4.64,4.7,2.91,1095
4020,0.7,Good,I,VS1,61.1,61.0,5.65,5.7,3.47,2443
3464,0.32,Premium,E,VVS2,61.1,58.0,4.42,4.45,2.71,842
22856,0.6,Good,F,VS2,58.8,60.7,5.52,5.55,3.25,1940
3461,1.07,Premium,H,SI1,62.9,61.0,6.47,6.41,4.05,4440
17113,0.71,Ideal,E,VS2,61.6,56.0,5.71,5.75,3.53,3381
20300,1.02,Ideal,E,SI1,62.3,54.0,6.45,6.49,4.03,5509
1001,1.32,Premium,J,VS2,60.4,58.0,7.11,7.14,4.3,5800
8924,2.0,Very Good,I,VS2,63.5,59.0,7.98,7.93,5.05,15025
23811,0.26,Very Good,E,VVS1,62.9,58.0,4.06,4.08,2.56,599
5021,0.52,Ideal,E,SI2,61.8,57.0,5.14,5.18,3.19,1146
129,0.31,Fair,G,VVS2,65.5,58.0,4.25,4.24,2.78,629
10124,0.52,Ideal,E,SI1,62.4,58.0,5.16,5.13,3.21,1656
26528,0.61,Premium,G,VS1,61.7,60.0,5.46,5.4,3.35,1704
4240,1.31,Ideal,H,VS1,61.5,56.0,7.06,7.0,4.32,8583
3502,0.5,Ideal,G,SI2,,57.0,5.1,5.13,3.14,1107
16795,0.57,Ideal,D,VS2,62.1,56.0,5.29,5.34,3.3,1864
24131,0.51,Very Good,D,SI1,61.0,60.0,5.15,5.18,3.15,1569
4894,0.7,Good,F,VS1,63.7,55.0,5.56,5.61,3.56,2724
7659,0.79,Premium,G,VS2,62.3,58.0,5.92,5.89,3.68,2959
22135,0.53,Ideal,E,VS2,61.5,56.0,5.22,5.25,3.22,1948
5265,0.35,Ideal,G,VS2,61.3,56.0,4.55,4.58,2.8,807
23425,0.35,Ideal,D,SI1,62.3,55.0,4.56,4.52,2.83,827
1498,1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18,2789
17811,1.6,Premium,I,VS2,60.2,58.0,7.63,7.56,4.57,9784
22639,0.7,Good,E,SI2,63.6,65.0,5.67,5.55,3.57,2032
2621,1.25,Premium,G,VS2,62.6,58.0,6.87,6.8,4.28,8820
8302,1.01,Good,F,SI2,63.6,59.0,6.34,6.37,4.04,4121
26046,0.3,Premium,E,VS2,62.6,62.0,4.25,4.21,2.65,788
10146,0.52,Very Good,E,VS1,58.9,64.0,5.23,5.3,3.1,2092
22706,0.55,Good,J,VS2,64.1,54.0,5.18,5.21,3.33,1034
18868,0.65,Good,F,VS1,61.7,60.3,5.53,5.57,3.42,2406
19163,1.16,Fair,H,SI2,68.2,55.0,6.47,6.37,4.38,3118
18885,0.9,Very Good,E,VS2,62.9,57.0,6.16,6.18,3.88,4580
25477,1.01,Fair,H,VS1,66.1,55.0,6.28,6.24,4.14,4044
21648,0.36,Ideal,F,SI1,61.1,57.0,4.57,4.6,2.8,551
7972,1.07,Very Good,E,SI1,60.4,63.0,6.67,6.6,4.01,4314
4769,0.54,Ideal,G,VVS2,61.9,57.0,5.22,5.25,3.24,1981
2737,0.3,Good,G,VS1,63.5,58.0,4.21,4.26,2.69,565
61,0.51,Ideal,F,VVS2,62.6,57.0,5.13,5.1,3.2,2203
15383,0.33,Ideal,I,IF,61.1,56.0,4.45,4.49,2.73,675
4161,0.32,Very Good,F,VVS1,61.9,59.0,4.34,4.39,2.7,926
20839,1.6,Premium,I,SI1,62.1,58.0,7.51,7.47,4.65,8852
3994,0.31,Ideal,G,SI2,60.5,57.0,4.4,4.36,2.65,523
26330,2.01,Very Good,I,VS2,59.2,62.0,8.14,8.17,4.83,16626
22659,0.32,Ideal,I,VS1,61.7,55.6,4.41,4.43,2.73,529
3038,0.38,Ideal,F,VS1,62.0,54.0,4.65,4.68,2.89,865
3026,4.01,Premium,J,I1,62.5,62.0,10.02,9.94,6.24,15223
15803,0.42,Ideal,H,VS1,61.2,57.0,4.87,4.8,2.96,1048
6869,0.31,Very Good,F,VVS1,62.4,57.0,4.3,4.32,2.69,897
9803,0.77,Premium,E,VS2,60.5,59.0,5.98,5.92,3.6,3234
24846,0.9,Ideal,H,VS2,62.7,57.0,6.13,6.15,3.85,4072
19574,0.32,Ideal,D,VS2,62.7,54.0,4.36,4.38,2.74,758
16746,0.9,Ideal,I,VS1,60.9,60.0,6.2,6.24,3.79,4492
13339,0.77,Premium,G,VS2,61.3,60.0,5.91,5.81,3.59,2846
2533,0.71,Good,I,VVS1,63.4,57.0,5.67,5.71,3.61,2549
12580,0.24,Very Good,F,VVS2,62.0,58.0,3.95,3.98,2.46,552
1908,1.11,Ideal,E,VVS1,61.3,54.0,6.68,6.72,4.11,12725
13817,0.31,Very Good,D,SI1,63.0,54.0,4.32,4.35,2.73,571
20181,0.91,Fair,F,SI2,65.3,51.0,6.05,5.98,3.93,2996
22005,1.1,Ideal,H,VS2,62.6,57.0,6.61,6.56,4.12,4048
26934,0.7,Ideal,E,VVS2,62.4,54.0,5.66,5.71,3.55,3585
8083,1.15,Premium,J,SI1,62.3,55.0,6.76,6.66,4.18,4347
6643,0.3,Premium,H,VS1,62.6,59.0,4.3,4.26,2.68,675
24363,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1771
4329,0.5,Good,E,SI1,64.2,59.0,5.03,4.97,3.21,1155
216,1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5,15585
8132,0.27,Good,E,VVS1,63.9,57.0,4.07,4.1,2.61,586
3483,0.6,Very Good,F,SI1,62.1,57.4,5.39,5.45,3.35,1715
15104,0.5,Very Good,G,SI1,61.1,57.0,5.14,5.2,3.16,1098
22302,0.7,Good,E,VS1,59.4,61.0,5.79,5.83,3.45,3063
2712,0.51,Ideal,D,VS2,60.9,56.0,5.16,5.19,3.15,1787
19662,1.02,Premium,F,SI2,63.0,58.0,6.44,6.38,4.04,4238
25467,1.01,Premium,H,SI1,58.8,62.0,6.59,6.54,3.86,4191
5573,1.24,Very Good,J,SI2,60.4,61.0,6.85,6.92,4.16,4737
15101,1.02,Ideal,D,SI2,61.7,58.0,6.41,6.49,3.98,5426
18425,0.33,Very Good,G,IF,62.6,55.0,4.41,4.44,2.77,898
3599,0.3,Ideal,G,VS1,61.5,57.0,4.34,4.31,2.66,776
6842,0.31,Ideal,F,VVS2,62.2,53.0,4.37,4.41,2.73,706
11624,1.2,Very Good,F,SI1,61.9,58.0,6.75,6.82,4.2,6985
24799,2.11,Very Good,D,SI2,60.9,60.0,8.21,8.28,5.02,18407
11517,1.03,Ideal,E,SI1,62.2,57.0,6.48,6.42,4.01,5330
19162,0.31,Premium,G,VS1,61.8,59.0,4.35,4.32,2.68,802
13646,1.29,Very Good,I,VS1,,58.0,6.98,7.03,4.28,5562
11115,0.8,Premium,F,SI2,61.0,57.0,6.03,6.01,3.67,2797
7342,0.36,Ideal,G,IF,62.2,53.0,4.59,4.61,2.86,1029
5296,1.0,Premium,F,SI1,59.7,60.0,6.51,6.48,3.88,4939
10760,0.7,Premium,E,VS1,61.8,58.0,5.71,5.75,3.54,3016
8130,0.54,Ideal,F,VS2,60.3,55.0,5.32,5.26,3.19,1786
18555,0.57,Very Good,F,VVS2,60.7,58.0,5.32,5.35,3.24,2351
19456,1.2,Very Good,D,SI1,62.6,59.0,6.71,6.75,4.21,7909
9787,0.39,Good,G,VS2,63.7,53.0,4.62,4.67,2.96,734
11410,0.9,Very Good,D,SI1,62.3,58.0,6.14,6.16,3.83,4497
21210,0.24,Ideal,D,VS1,62.6,57.0,3.92,4.0,2.48,687
23985,0.3,Very Good,E,VS1,63.4,55.0,4.26,4.29,2.71,660
15558,0.78,Ideal,D,SI1,61.1,57.0,5.95,5.97,3.64,3214
9118,1.2,Ideal,G,VS1,61.7,56.0,6.84,6.77,4.2,5766
26855,1.29,Premium,I,VS2,,58.0,7.12,7.03,4.27,6321
19836,1.36,Good,F,SI1,57.5,60.0,7.36,7.31,4.22,7197
398,0.33,Premium,F,SI2,62.3,58.0,4.43,4.4,2.75,557
24985,0.3,Premium,G,VS1,61.9,59.0,4.32,4.3,2.67,776
101,1.02,Fair,J,SI1,66.8,55.0,6.25,6.18,4.15,3027
20087,0.57,Premium,F,SI1,60.7,58.0,5.36,5.32,3.24,1571
14843,0.7,Very Good,E,SI1,62.7,59.0,5.63,5.67,3.54,2753
14668,0.9,Premium,I,SI2,60.6,60.0,6.23,6.28,3.79,3001
7572,0.36,Premium,D,SI1,60.4,58.0,4.64,4.6,2.79,851
22926,0.86,Very Good,J,SI2,63.2,61.0,6.05,5.97,3.79,1950
24376,0.28,Very Good,E,VVS1,62.1,57.0,4.17,4.21,2.6,707
7486,0.28,Ideal,E,VS1,61.4,56.0,4.2,4.24,2.59,487
24849,0.4,Very Good,E,SI1,63.2,58.0,4.7,4.66,2.96,882
25386,0.27,Very Good,F,VVS2,61.3,57.0,4.14,4.18,2.54,682
2998,0.46,Fair,I,VS2,66.8,55.0,4.82,4.77,3.2,855
22150,1.01,Ideal,E,SI2,62.8,57.0,6.38,6.35,4.0,4434
19591,1.01,Ideal,D,VS2,62.6,55.0,6.42,6.46,4.03,8279
6552,0.71,Ideal,F,VS1,61.3,56.0,5.69,5.75,3.51,3710
10348,0.7,Premium,D,SI2,59.3,59.0,5.79,5.74,3.42,2562
17157,1.31,Ideal,I,VS1,62.2,57.0,7.0,7.03,4.36,7751
8544,1.05,Very Good,E,SI1,62.2,56.0,6.49,6.56,4.06,5494
21615,0.4,Premium,G,VS2,60.4,58.0,4.78,4.75,2.88,966
3308,1.7,Good,J,VS2,63.6,59.0,7.53,7.48,4.77,8134
3576,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1229
2883,0.33,Very Good,D,VS1,63.2,56.0,4.45,4.44,2.81,1109
10917,0.31,Very Good,F,VVS1,61.8,59.0,4.33,4.35,2.68,897
12482,0.39,Fair,G,IF,,61.0,4.83,4.88,2.77,1127
12854,0.34,Ideal,G,IF,61.5,55.0,4.51,4.53,2.78,974
16230,0.41,Premium,G,SI1,59.1,58.0,4.83,4.88,2.87,719
534,0.71,Ideal,G,VVS2,60.7,57.0,5.81,5.78,3.52,2843
14515,0.32,Very Good,F,VS2,61.5,59.7,4.32,4.39,2.68,624
8719,0.9,Very Good,E,SI2,63.2,61.0,6.06,5.99,3.81,3239
3091,1.51,Good,I,SI1,63.8,59.0,7.27,7.21,4.62,6266
14946,0.56,Ideal,E,VS1,61.2,56.0,5.3,5.34,3.26,2085
3310,0.46,Good,F,VS1,61.6,62.2,4.84,5.0,3.04,1168
8335,1.2,Ideal,I,SI1,62.1,55.0,6.83,6.79,4.23,5174
1775,1.01,Very Good,H,SI1,59.3,62.0,6.57,6.55,3.89,4868
26145,1.01,Very Good,I,SI2,59.2,59.0,6.52,6.62,3.89,3792
25089,0.28,Ideal,I,VS1,62.0,56.0,4.2,4.24,2.62,503
17733,0.33,Very Good,D,VVS2,60.8,58.0,4.47,4.48,2.72,1050
15215,1.26,Fair,H,SI2,64.9,60.0,6.7,6.62,4.32,3881
22221,0.6,Ideal,G,VS1,61.6,56.0,5.44,5.47,3.36,2131
15701,0.31,Ideal,F,VS2,60.8,57.0,4.41,4.38,2.67,749
21450,0.31,Very Good,I,VVS1,63.1,59.0,4.31,4.25,2.7,732
18923,0.43,Ideal,G,VVS2,61.4,55.0,4.88,4.83,2.98,1129
8165,0.7,Premium,G,VS1,61.0,59.0,5.77,5.68,3.49,2535
17907,1.0,Fair,H,SI2,66.1,59.0,6.18,6.13,4.07,3472
784,0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24,2776
1473,0.52,Very Good,G,VS2,62.6,58.0,5.08,5.11,3.19,1423
16497,0.5,Very Good,D,VS2,62.9,61.0,4.96,5.03,3.14,1752
13776,0.43,Ideal,E,VS2,62.8,56.0,4.86,4.79,3.03,1048
25949,1.06,Very Good,E,IF,62.4,55.0,6.5,6.54,4.07,12642
16862,0.52,Premium,G,VS2,61.7,58.0,5.16,5.14,3.18,1577
16296,0.64,Good,G,VS2,64.1,55.3,5.43,5.45,3.49,1906
26127,1.59,Very Good,J,VS1,60.7,59.0,7.49,7.54,4.56,8515
10121,1.21,Very Good,D,SI2,60.9,58.0,6.83,6.89,4.18,5922
20740,1.02,Ideal,G,SI2,61.4,56.0,6.52,6.47,3.99,4255
9701,1.02,Ideal,I,SI2,60.7,57.0,6.54,6.57,3.98,3786
22316,1.51,Very Good,E,SI2,61.2,58.0,7.3,7.35,4.48,9140
19687,0.43,Premium,D,SI2,60.7,58.0,4.85,4.91,2.96,716
25015,0.51,Good,E,SI2,63.3,56.0,5.08,5.12,3.23,1130
9880,1.01,Very Good,E,VS2,62.9,58.0,6.37,6.47,4.04,6221
7335,1.01,Ideal,F,VS1,61.7,59.0,6.44,6.42,3.97,7056
14180,0.31,Ideal,J,VS1,61.2,55.0,4.37,4.39,2.68,424
22390,1.04,Ideal,F,SI1,61.3,56.0,6.51,6.55,4.0,5495
16444,0.4,Very Good,F,VS1,61.3,54.0,4.8,4.83,2.95,890
16317,0.59,Very Good,J,VS2,60.8,56.6,5.42,5.47,3.31,1257
3526,1.0,Premium,F,I1,58.9,60.0,6.6,6.55,3.87,2841
726,1.25,Ideal,I,SI2,63.3,56.0,6.87,6.83,4.34,5292
7492,1.27,Good,I,VS2,63.3,63.0,6.82,6.87,4.33,5923
12685,0.91,Premium,E,SI2,60.0,60.0,6.28,6.23,3.75,3379
6762,0.9,Very Good,F,SI2,61.1,54.0,6.27,6.29,3.84,3519
10139,0.4,Premium,F,VS1,61.9,59.0,4.67,4.7,2.9,982
14199,0.34,Premium,H,VS2,61.7,60.0,4.51,4.47,2.77,689
16671,0.7,Ideal,G,VS1,61.4,57.0,5.7,5.73,3.51,3034
10908,1.06,Premium,G,VS2,62.5,58.0,6.52,6.47,4.06,5543
